§ttbid,delayTime,epic,expiry,high,instrumentName,instrumentType,lotSize,low,marketStatus,netChange,offer,otcTradeable,percentageChange,scalingFactor,streamingPricesAvailable,updateTime,updateTimeUTC
7116.29,0,CS.D.BITCOIN.CFD.IP,-,7201.2,Bitcoin ($1),CURRENCIES,1,7069.2,TRADEABLE,21.07,7152.29,True,0.3,1,True,-1672000,00:32:08
209.2,0,CS.D.BCHUSD.CFD.IP,-,214.1,Bitcoin Cash ($1),CURRENCIES,1,209.2,TRADEABLE,-1.32,211.2,True,-0.62,1,True,-1673000,00:32:07
0.2917,0,CS.D.BCHXBT.CFD.IP,-,0.3013,Bitcoin Cash/Bitcoin ($1),CURRENCIES,1,0.2913,TRADEABLE,-0.0027,0.2977,True,-0.91,1000,True,-1672000,00:32:08
2123.26,0,CS.D.CRYPTOB10.CFD.IP,-,2182.8,Crypto 10 Index,CURRENCIES,1,2123.3,TRADEABLE,-6.22,2161.26,True,-0.29,1,True,-1671000,00:32:09
2.5547,0,CS.D.EOSUSD.CFD.IP,-,2.653,EOS ($1),CURRENCIES,1,2.553,TRADEABLE,-0.027,2.5947,True,-1.04,100,True,-1672000,00:32:08
146.19,0,CS.D.ETHUSD.CFD.IP,-,149.0,Ether ($1),CURRENCIES,1,146.2,TRADEABLE,-1.21,147.39,True,-0.82,1,True,-1673000,00:32:07
0.02043,0,CS.D.ETHXBT.CFD.IP,-,0.02099,Ether/Bitcoin ($1),CURRENCIES,1,0.02042,TRADEABLE,-0.00023,0.02073,True,-1.11,10000,True,-1672000,00:32:08
46.4,0,CS.D.LTCUSD.CFD.IP,-,47.6,Litecoin ($1),CURRENCIES,1,46.4,TRADEABLE,-0.27,46.8,True,-0.58,1,True,-1674000,00:32:06
9.123,0,CS.D.NEOUSD.CFD.IP,-,9.4,NEO ($1),CURRENCIES,1,9.0,TRADEABLE,0.096,9.323,True,1.05,1,True,-1671000,00:32:09
0.2169,0,CS.D.XRPUSD.CFD.IP,-,0.223,Ripple ($1),CURRENCIES,1,0.217,TRADEABLE,-0.0008,0.2205,True,-0.36,100,True,-1678000,00:32:02
0.0563,0,CS.D.XLMUSD.CFD.IP,-,0.059,Stellar ($1),CURRENCIES,1,0.056,TRADEABLE,0.0001,0.0583,True,0.17,100,True,-1688000,00:31:52
,0,KC.D.PSDLLN.CASH.IP,-,327.0,Phoenix Spree Deutschland Limited,SHARES,0,325.0,EDITS_ONLY,4.0,,True,1.24,1,False,55706000,16:28:26
,0,NZ.D.AMPNZ.CASH.IP,-,2.02,AMP Limited (NZ),SHARES,0,2.0,TRADEABLE,-0.01,,True,-0.5,100,False,-3310000,00:04:50
,0,NZ.D.AIRNZ.CASH.IP,-,2.885,Air New Zealand Limited (NZ),SHARES,0,2.855,TRADEABLE,-0.03,,True,-1.04,100,False,-1831000,00:29:29
,0,NZ.D.ARGNZ.CASH.IP,-,1.36,Argosy Property Limited,SHARES,0,1.34,TRADEABLE,0.04,,True,3.03,100,False,-2589000,00:16:51
,0,NZ.D.AIANZ.CASH.IP,-,9.18,Auckland International Airport Limited (NZ),SHARES,0,9.06,TRADEABLE,0.12,,True,1.33,100,False,-1671000,00:32:09
,0,NZ.D.ANZNZ.CASH.IP,-,26.49,Australia and New Zealand Banking Group Limited (NZ),SHARES,0,26.3,TRADEABLE,-0.14,,True,-0.53,100,False,-1918000,00:28:02
,0,NZ.D.ATMNZ.CASH.IP,-,15.05,a2 Milk Company Limited (NZ),SHARES,0,14.81,TRADEABLE,0.18,,True,1.22,100,False,-1796000,00:30:04
,0,NZ.D.ARVNZ.CASH.IP,-,1.64,Arvida Group Limited,SHARES,0,1.62,TRADEABLE,-0.01,,True,-0.61,100,False,-3319000,00:04:41
,0,NZ.D.CNUNZ.CASH.IP,-,5.66,Chorus Limited (NZ),SHARES,0,5.64,TRADEABLE,0.01,,True,0.18,100,False,-2304000,00:21:36
,0,NZ.D.CENNZ.CASH.IP,-,7.08,Contact Energy Limited,SHARES,0,7.0,TRADEABLE,0.0,,True,0.0,100,False,-2313000,00:21:27
,0,NZ.D.EBONZ.CASH.IP,-,22.9,EBOS Group Limited (NZ),SHARES,0,22.7,TRADEABLE,-0.05,,True,-0.22,100,False,-1881000,00:28:39
,0,NZ.D.FPHNZ.CASH.IP,-,20.99,Fisher & Paykel Healthcare Corporation Limited (NZ),SHARES,0,20.67,TRADEABLE,0.08,,True,0.39,100,False,-1683000,00:31:57
,0,NZ.D.FBUNZ.CASH.IP,-,5.34,Fletcher Building Limited (NZ),SHARES,0,5.2,TRADEABLE,-0.06,,True,-1.12,100,False,-2786000,00:13:34
,0,NZ.D.FCGNZ.CASH.IP,-,4.0,Fonterra Co-operative Group Limited (NZ),SHARES,0,3.99,TRADEABLE,0.0,,True,0.0,100,False,-3310000,00:04:50
,0,NZ.D.FSFNZ.CASH.IP,-,4.0,Fonterra Shareholders Fund (NZ),SHARES,0,3.99,TRADEABLE,0.04,,True,1.01,100,False,-3310000,00:04:50
,0,NZ.D.FRENZ.CASH.IP,-,7.88,Freightways Ltd,SHARES,0,7.84,TRADEABLE,-0.01,,True,-0.13,100,False,-3310000,00:04:50
,0,NZ.D.GNENZ.CASH.IP,-,3.1,Genesis Energy Limited (NZ),SHARES,0,3.07,TRADEABLE,-0.01,,True,-0.32,100,False,-1806000,00:29:54
,0,NZ.D.GTKNZ.CASH.IP,-,4.19,Gentrack Group Limited (NZ),SHARES,0,4.14,TRADEABLE,0.03,,True,0.73,100,False,-1787000,00:30:13
,0,NZ.D.GMTNZ.CASH.IP,-,2.09,Goodman Property Trust,SHARES,0,2.085,TRADEABLE,-0.02,,True,-0.95,100,False,-3310000,00:04:50
,0,NZ.D.HGHNZ.CASH.IP,-,1.72,Heartland Group Holdings Limited (NZ),SHARES,0,1.7,TRADEABLE,0.0,,True,0.0,100,False,-3317000,00:04:43
,0,NZ.D.IFTNZ.CASH.IP,-,4.95,Infratil Limited (NZ),SHARES,0,4.9,TRADEABLE,-0.06,,True,-1.21,100,False,-1702000,00:31:38
,0,NZ.D.IPLNZ.CASH.IP,-,1.78,Investore Property Limited,SHARES,0,1.77,TRADEABLE,0.0,,True,0.0,100,False,-3312000,00:04:48
,0,NZ.D.KMDNZ.CASH.IP,-,3.02,Kathmandu Holdings Limited (NZ),SHARES,0,2.99,TRADEABLE,0.03,,True,1.0,100,False,-1757000,00:30:43
,0,NZ.D.KPGNZ.CASH.IP,-,1.565,Kiwi Property Group Ltd,SHARES,0,1.55,TRADEABLE,0.0,,True,0.0,100,False,-3310000,00:04:50
,0,NZ.D.MFTNZ.CASH.IP,-,41.9,Mainfreight Ltd,SHARES,0,41.0,TRADEABLE,0.51,,True,1.24,100,False,-1741000,00:30:59
,0,NZ.D.MCYNZ.CASH.IP,-,4.77,Mercury NZ Limited (NZ),SHARES,0,4.71,TRADEABLE,0.06,,True,1.28,100,False,-1715000,00:31:25
,0,NZ.D.MELNZ.CASH.IP,-,4.485,Meridian Energy Limited,SHARES,0,4.365,TRADEABLE,0.08,,True,1.82,100,False,-1671000,00:32:09
,0,NZ.D.METNZ.CASH.IP,-,6.05,Metlifecare Ltd,SHARES,0,5.99,TRADEABLE,-0.09,,True,-1.48,100,False,-3292000,00:05:08
,0,NZ.D.NZXNZ.CASH.IP,-,1.24,NZX Ltd,SHARES,0,1.23,TRADEABLE,0.0,,True,0.0,100,False,-3311000,00:04:49
,0,NZ.D.OCANZ.CASH.IP,-,1.09,Oceania Healthcare Limited (NZ),SHARES,0,1.08,TRADEABLE,0.01,,True,0.93,100,False,-1717000,00:31:23
,0,NZ.D.POTNZ.CASH.IP,-,6.7,Port of Tauranga Ltd,SHARES,0,6.6,TRADEABLE,0.07,,True,1.06,100,False,-3310000,00:04:50
,0,NZ.D.PCTNZ.CASH.IP,-,1.8,Precinct Properties New Zealand Ltd,SHARES,0,1.785,TRADEABLE,0.0,,True,0.0,100,False,-3310000,00:04:50
,0,NZ.D.PFINZ.CASH.IP,-,2.335,Property for Industry Ltd,SHARES,0,2.33,TRADEABLE,0.0,,True,0.0,100,False,-1928000,00:27:52
,0,NZ.D.PPHNZ.CASH.IP,-,3.72,Pushpay Holdings Limited (NZ),SHARES,0,3.63,TRADEABLE,0.01,,True,0.27,100,False,-2029000,00:26:11
,0,NZ.D.RBDNZ.CASH.IP,-,11.89,Restaurant Brands New Zealand Limited (NZ),SHARES,0,11.8,TRADEABLE,-0.08,,True,-0.67,100,False,-1900000,00:28:20
,0,NZ.D.RYMNZ.CASH.IP,-,14.75,Ryman Healthcare Ltd,SHARES,0,14.2,TRADEABLE,0.49,,True,3.45,100,False,-1812000,00:29:48
,0,NZ.D.SKTNZ.CASH.IP,-,0.86,SKY Network Television Limited,SHARES,0,0.82,TRADEABLE,-0.01,,True,-1.18,100,False,-2786000,00:13:34
,0,NZ.D.SKCNZ.CASH.IP,-,3.95,SKYCITY Entertainment Group Limited (NZ),SHARES,0,3.92,TRADEABLE,0.0,,True,0.0,100,False,-2063000,00:25:37
,0,NZ.D.SANNZ.CASH.IP,-,7.5,Sanford Limited,SHARES,0,7.36,TRADEABLE,0.0,,True,0.0,100,False,-2786000,00:13:34
,0,NZ.D.SCLNZ.CASH.IP,-,5.25,Scales Corp Ltd,SHARES,0,5.21,TRADEABLE,0.06,,True,1.16,100,False,-2261000,00:22:19
,0,NZ.D.SPKNZ.CASH.IP,-,4.54,Spark New Zealand Limited (NZ),SHARES,0,4.47,TRADEABLE,-0.05,,True,-1.1,100,False,-1708000,00:31:32
,0,NZ.D.SUMNZ.CASH.IP,-,7.59,Summerset Group Holdings Limited (NZ),SHARES,0,7.5,TRADEABLE,0.02,,True,0.26,100,False,-1984000,00:26:56
,0,NZ.D.SMLNZ.CASH.IP,-,9.46,Synlait Milk Limited (NZ),SHARES,0,9.12,TRADEABLE,0.1,,True,1.07,100,False,-1771000,00:30:29
,0,NZ.D.SKLNZ.CASH.IP,-,2.33,Skellerup Holdings Ltd,SHARES,0,2.32,TRADEABLE,-0.02,,True,-0.85,100,False,-2786000,00:13:34
,0,NZ.D.SPGNZ.CASH.IP,-,2.21,Stride Stapled Group,SHARES,0,2.2,TRADEABLE,0.0,,True,0.0,100,False,-1678000,00:32:02
,0,NZ.D.TLSNZ.CASH.IP,-,3.91,Telstra Corporation Limited (NZ),SHARES,0,3.85,TRADEABLE,0.08,,True,2.09,100,False,-3317000,00:04:43
,0,NZ.D.NZRNZ.CASH.IP,-,1.97,The New Zealand Refining Company Limited,SHARES,0,1.95,TRADEABLE,0.0,,True,0.0,100,False,-3310000,00:04:50
,0,NZ.D.THLNZ.CASH.IP,-,3.34,Tourism Holdings Limited,SHARES,0,3.29,TRADEABLE,0.01,,True,0.3,100,False,-3310000,00:04:50
,0,NZ.D.TPWNZ.CASH.IP,-,7.2,Trustpower Limited,SHARES,0,7.07,TRADEABLE,-0.13,,True,-1.81,100,False,-1698000,00:31:42
,0,NZ.D.VCTNZ.CASH.IP,-,3.55,Vector Ltd,SHARES,0,3.51,TRADEABLE,0.0,,True,0.0,100,False,-3310000,00:04:50
,0,NZ.D.VGLNZ.CASH.IP,-,3.8,Vista Group International Limited (NZ),SHARES,0,3.75,TRADEABLE,0.0,,True,0.0,100,False,-3145000,00:07:35
,0,NZ.D.VHPNZ.CASH.IP,-,2.64,Vital Healthcare Property Trust,SHARES,0,2.63,TRADEABLE,0.005,,True,0.19,100,False,-1879000,00:28:41
,0,NZ.D.WBCNZ.CASH.IP,-,26.46,Westpac Banking Corporation (NZ),SHARES,0,25.86,TRADEABLE,-0.43,,True,-1.63,100,False,-2231000,00:22:49
,0,NZ.D.ZELNZ.CASH.IP,-,5.12,Z Energy Limited (NZ),SHARES,0,4.98,TRADEABLE,0.14,,True,2.81,100,False,-2061000,00:25:39
7406.8,0,IX.D.SUNFUN.CFD.IP,-,7413.6,Weekend FTSE 100 Cash (GBP10),INDICES,10,7398.7,EDITS_ONLY,2.4,7412.8,True,0.03,1,True,-1667000,00:32:13
7406.8,0,IX.D.SUNFUN.IFM.IP,-,7413.6,Weekend FTSE 100 Cash (GBP2),INDICES,2,7398.7,EDITS_ONLY,2.4,7412.8,True,0.03,1,True,-1667000,00:32:13
12847.5,0,IX.D.SUNGBPUSD.CFD.IP,-,12875.9,Weekend GBP/USD,CURRENCIES,10,12846.2,EDITS_ONLY,-14.6,12859.5,True,-0.11,1,True,-1669000,00:32:11
13261.6,0,IX.D.SUNDAX.IFD.IP,-,13271.8,Weekend Germany 30 Cash (E25),INDICES,25,13252.5,EDITS_ONLY,2.1,13269.6,True,0.02,1,True,-1669000,00:32:11
27007.0,0,IX.D.SUNHANS.IFM.IP,-,27079.2,Weekend Hong Kong HS50 (HK10),INDICES,10,26992.3,EDITS_ONLY,-20.7,27057.0,True,-0.08,1,True,-1667000,00:32:13
27007.0,0,IX.D.SUNHANS.IFD.IP,-,27079.2,Weekend Hong Kong HS50 (HK50),INDICES,50,26992.3,EDITS_ONLY,-20.7,27057.0,True,-0.08,1,True,-1667000,00:32:13
28140.2,0,IX.D.SUNDOW.IFD.IP,-,28163.2,Weekend Wall Street Cash ($10),INDICES,10,28124.7,EDITS_ONLY,-7.1,28152.2,True,-0.03,1,True,-1661000,00:32:19
28140.2,0,IX.D.SUNDOW.IFM.IP,-,28163.2,Weekend Wall Street Cash ($2),INDICES,2,28124.7,EDITS_ONLY,-7.1,28152.2,True,-0.03,1,True,-1661000,00:32:19
1286.9,0,KB.D.OZTELE.IFD.IP,-,1295.3,Australia 200 Communications,SECTORS,10,1272.5,TRADEABLE,20.4,1292.1,True,1.61,1,True,-1705000,00:31:35
1286.9,0,KB.D.OZTELE.IFM.IP,-,1295.3,Australia 200 Communications (A$2 Mini Contract),SECTORS,2,1272.5,TRADEABLE,20.4,1292.1,True,1.61,1,True,-1705000,00:31:35
2734.2,0,KB.D.OZCOND.IFD.IP,-,2748.3,Consumer Disc.,SECTORS,10,2721.3,TRADEABLE,13.7,2745.2,True,0.5,1,True,-1675000,00:32:05
2734.2,0,KB.D.OZCOND.IFM.IP,-,2748.3,Consumer Disc. (A$2 Mini Contract),SECTORS,2,2721.3,TRADEABLE,13.7,2745.2,True,0.5,1,True,-1675000,00:32:05
13169.3,0,KB.D.OZCONSUM.IFD.IP,-,13235.0,Consumer Staples,SECTORS,10,13140.5,TRADEABLE,50.7,13222.1,True,0.39,1,True,-1675000,00:32:05
13169.3,0,KB.D.OZCONSUM.IFM.IP,-,13235.0,Consumer Staples (A$2 Mini Contract),SECTORS,2,13140.5,TRADEABLE,50.7,13222.1,True,0.39,1,True,-1675000,00:32:05
11540.6,0,KB.D.OZENER.IFD.IP,-,11612.7,Energy,SECTORS,10,11466.0,TRADEABLE,37.1,11586.8,True,0.32,1,True,-1675000,00:32:05
11540.6,0,KB.D.OZENER.IFM.IP,-,11612.7,Energy (A$2 Mini Contract),SECTORS,2,11466.0,TRADEABLE,37.1,11586.8,True,0.32,1,True,-1675000,00:32:05
6061.5,0,KB.D.OZFINL.IFD.IP,-,6091.0,Financials,SECTORS,10,6041.5,TRADEABLE,5.4,6085.7,True,0.09,1,True,-1675000,00:32:05
6061.5,0,KB.D.OZFINL.IFM.IP,-,6091.0,Financials (A$2 Mini Contract),SECTORS,2,6041.5,TRADEABLE,5.4,6085.7,True,0.09,1,True,-1675000,00:32:05
41228.1,0,KB.D.OZHEALTH.IFD.IP,-,41421.6,Health,SECTORS,10,40984.4,TRADEABLE,3.0,41393.3,True,0.01,1,True,-1675000,00:32:05
41228.1,0,KB.D.OZHEALTH.IFM.IP,-,41421.6,Health (A$2 Mini Contract),SECTORS,2,40984.4,TRADEABLE,3.0,41393.3,True,0.01,1,True,-1675000,00:32:05
7175.8,0,KB.D.OZINDU.IFD.IP,-,7218.0,Industrials,SECTORS,10,7171.7,TRADEABLE,1.1,7204.6,True,0.02,1,True,-1675000,00:32:05
7175.8,0,KB.D.OZINDU.IFM.IP,-,7218.0,Industrials (A$2 Mini Contract),SECTORS,2,7171.7,TRADEABLE,1.1,7204.6,True,0.02,1,True,-1675000,00:32:05
1451.3,0,KB.D.OZIT.IFD.IP,-,1457.1,IT,SECTORS,10,1443.1,TRADEABLE,9.2,1457.1,True,0.64,1,True,-1645000,00:32:35
1451.3,0,KB.D.OZIT.IFM.IP,-,1457.1,IT (A$2 Mini Contract),SECTORS,2,1443.1,TRADEABLE,9.2,1457.1,True,0.64,1,True,-1645000,00:32:35
13584.7,0,KB.D.OZMATR.IFD.IP,-,13656.1,Materials,SECTORS,10,13526.1,TRADEABLE,111.5,13639.1,True,0.83,1,True,-1615000,00:33:05
13584.7,0,KB.D.OZMATR.IFM.IP,-,13656.1,Materials (A$2 Mini Contract),SECTORS,2,13526.1,TRADEABLE,111.5,13639.1,True,0.83,1,True,-1615000,00:33:05
8147.4,0,KB.D.OZUTILI.IFD.IP,-,8200.5,Utilities,SECTORS,10,8112.1,TRADEABLE,89.9,8180.0,True,1.11,1,True,-1615000,00:33:05
8147.4,0,KB.D.OZUTILI.IFM.IP,-,8200.5,Utilities (A$2 Mini Contract),SECTORS,2,8112.1,TRADEABLE,89.9,8180.0,True,1.11,1,True,-1615000,00:33:05
12.9,0,IN.D.VSTOXX.FWS1.IP,DEC-19,13.06,EU Volatility Index (€1000),INDICES,1000,12.75,EDITS_ONLY,-0.08,12.9,True,-0.62,1,True,72000000,21:00:00
14.9,0,IN.D.VSTOXX.FWS4.IP,JAN-20,15.16,EU Volatility Index (€1000),INDICES,1000,14.85,EDITS_ONLY,-0.13,14.9,True,-0.86,1,True,72000000,21:00:00
9781.8,0,CC.D.DX.UNC.IP,-,9798.8,US Dollar Basket ($10),COMMODITIES,10,9778.1,EDITS_ONLY,-7.7,9786.8,True,-0.08,1,True,75599000,21:59:59
9813.0,0,CO.D.DX.FWS2.IP,DEC-19,9821.0,US Dollar Basket ($10),COMMODITIES,10,9813.0,EDITS_ONLY,0.0,9821.0,True,0.0,1,True,75600000,22:00:00
13.44,0,CC.D.VSTOXX.UNC.IP,-,13.67,EU Volatility Index,COMMODITIES,100,13.32,EDITS_ONLY,-0.06,13.52,True,-0.44,1,True,71999000,20:59:59
14.54,0,CC.D.VIX.UNC.IP,-,14.66,Volatility Index,COMMODITIES,1000,14.46,TRADEABLE,0.08,14.62,True,0.55,1,True,-1629000,00:32:51
,0,IN.D.VIX.FWS5.IP,DEC-19,14.08,Volatility Index ($1000),INDICES,1000,13.85,TRADEABLE,0.13,,True,0.94,1,True,-1629000,00:32:51
,0,IN.D.VIX.FWS3.IP,JAN-20,16.18,Volatility Index ($1000),INDICES,1000,16.03,TRADEABLE,0.0,,True,0.0,1,True,81800000,23:43:20
5092.0,0,KB.D.AERO.CASH.IP,-,5116.0,Aerospace and Defence,SECTORS,10,5072.0,EDITS_ONLY,-2.0,5102.0,True,-0.04,1,True,55800000,16:30:00
3689.0,0,KB.D.BANKS.CASH.IP,-,3706.0,Banks,SECTORS,10,3672.0,EDITS_ONLY,6.0,3697.0,True,0.15,1,True,56129000,16:35:29
3689.0,0,KB.D.BANKS.IFM.IP,-,3706.0,Banks (Â£2 Mini Contract),SECTORS,2,3672.0,EDITS_ONLY,6.0,3697.0,True,0.15,1,True,56129000,16:35:29
25369.0,0,KB.D.DRINKS.CASH.IP,-,25528.0,Beverages,SECTORS,10,25107.0,EDITS_ONLY,317.0,25419.0,True,1.26,1,True,56126000,16:35:26
13006.0,0,KB.D.CHEMS.CASH.IP,-,12999.0,Chemicals,SECTORS,10,12767.0,EDITS_ONLY,255.0,13032.0,True,2.0,1,True,56128000,16:35:28
6906.0,0,KB.D.BUILD.CASH.IP,-,6933.0,Construction and Materials,SECTORS,10,6817.0,EDITS_ONLY,169.0,6920.0,True,2.5,1,True,56125000,16:35:25
7717.0,0,KB.D.ELECTY.CASH.IP,-,7834.0,Electricity,SECTORS,10,7736.0,EDITS_ONLY,-89.0,7732.0,True,-1.14,1,True,56129000,16:35:29
8622.0,0,KB.D.EE.CASH.IP,-,8644.0,Electronic and Electrical Equipment,SECTORS,10,8451.0,EDITS_ONLY,162.0,8639.0,True,1.92,1,True,56115000,16:35:15
10573.0,0,KB.D.INV.CASH.IP,-,10579.0,Equity Investment Instruments,SECTORS,10,10519.0,EDITS_ONLY,62.0,10595.0,True,0.59,1,True,56437000,16:40:37
12119.0,0,KB.D.SPECFINAN.CASH.IP,-,12156.0,Financial Services,SECTORS,10,11999.0,EDITS_ONLY,168.0,12143.0,True,1.41,1,True,56130000,16:35:30
2222.0,0,KB.D.PHONES.CASH.IP,-,2253.0,Fixed Line Telecommunications,SECTORS,10,2222.0,EDITS_ONLY,-29.0,2227.0,True,-1.27,1,True,56121000,16:35:21
3870.0,0,KB.D.FDR.CASH.IP,-,3894.0,Food and Drug Retailers,SECTORS,10,3863.0,EDITS_ONLY,-1.0,3878.0,True,-0.03,1,True,56126000,16:35:26
7931.0,0,KB.D.FOOD.CASH.IP,-,7953.0,Food Producers,SECTORS,10,7775.0,EDITS_ONLY,123.0,7947.0,True,1.58,1,True,56129000,16:35:29
5108.0,0,KB.D.WATER.CASH.IP,-,5157.0,Gas Water and Multiutilities,SECTORS,10,5106.0,EDITS_ONLY,0.0,5118.0,True,-0.0,1,True,56121000,16:35:21
6220.0,0,KB.D.GINDU.CASH.IP,-,6265.0,General Industrials,SECTORS,10,6188.0,EDITS_ONLY,15.0,6232.0,True,0.24,1,True,56127000,16:35:27
6220.0,0,KB.D.GINDU.IFM.IP,-,6265.0,General Industrials (Â£2 Mini Contract),SECTORS,10,6188.0,EDITS_ONLY,15.0,6232.0,True,0.24,1,True,56127000,16:35:27
2331.0,0,KB.D.RETAIL.CASH.IP,-,2347.0,General Retailers,SECTORS,10,2327.0,EDITS_ONLY,10.0,2336.0,True,0.43,1,True,56130000,16:35:30
2331.0,0,KB.D.RETAIL.IFM.IP,-,2347.0,General Retailers (Â£2 Mini Contract),SECTORS,2,2327.0,EDITS_ONLY,10.0,2336.0,True,0.43,1,True,56130000,16:35:30
8213.0,0,KB.D.HEALTH.CASH.IP,-,8262.0,Health Care Equipment and Services,SECTORS,10,8127.0,EDITS_ONLY,2.0,8229.0,True,0.02,1,True,56129000,16:35:29
17005.0,0,KB.D.HSEHLD.CASH.IP,-,17096.0,Household Goods and Home Construction,SECTORS,10,16928.0,EDITS_ONLY,135.0,17039.0,True,0.8,1,True,55800000,16:30:00
1743.79,0,IX.D.OMX.IFD.IP,-,1746.58,Sweden 30 Cash (SK100),INDICES,100,1738.74,TRADEABLE,3.09,1745.29,True,0.18,1,True,-1613000,00:33:07
11626.6,0,IX.D.TAIEX.IFD.IP,-,11657.7,Taiwan Index Cash (NT$200),INDICES,200,11586.7,TRADEABLE,24.2,11650.6,True,0.21,1,True,-1613000,00:33:07
6817.0,0,IX.D.ASX.FWS3.IP,DEC-19,6829.0,Australia 200 (A$25),INDICES,25,6759.5,TRADEABLE,24.0,6820.0,True,0.35,1,True,-1612000,00:33:08
6816.1,0,IX.D.ASX.IFD.IP,-,6826.1,Australia 200 Cash (A$25),INDICES,25,6757.6,TRADEABLE,37.5,6817.1,True,0.55,1,True,-1612000,00:33:08
20844.0,0,KB.D.MID250.CASH.IP,-,20885.0,FTSE Mid 250,SECTORS,10,20697.0,EDITS_ONLY,162.0,20886.0,True,0.78,1,True,56437000,16:40:37
20844.0,0,KB.D.MID250.IFM.IP,-,20885.0,FTSE Mid 250 (Â£2 Mini Contract),SECTORS,2,20697.0,EDITS_ONLY,162.0,20886.0,True,0.78,1,True,56437000,16:40:37
2873.7,0,IX.D.FANG.IFD.IP,-,2876.7,US Fang Cash ($50),INDICES,50,2867.1,TRADEABLE,2.9,2876.7,True,0.1,1,True,-1632000,00:32:48
1626.8,0,IX.D.RUSSELL.FWS2.IP,DEC-19,1629.0,US Russell 2000 ($50),INDICES,50,1623.4,TRADEABLE,3.0,1627.3,True,0.18,1,True,-1613000,00:33:07
1625.4,0,IX.D.RUSSELL.IFD.IP,-,1627.4,US Russell 2000 Cash ($50),INDICES,50,1621.3,TRADEABLE,3.8,1625.7,True,0.23,1,True,-1613000,00:33:07
8400.0,0,IX.D.NASDAQ.FWS1.IP,DEC-19,8410.8,US Tech 100 ($100),INDICES,100,8395.8,TRADEABLE,-0.3,8403.0,True,-0.0,1,True,-1611000,00:33:09
8395.1,0,IX.D.NASDAQ.IFD.IP,-,8404.9,US Tech 100 Cash ($100),INDICES,100,8384.7,TRADEABLE,10.4,8397.1,True,0.12,1,True,-1611000,00:33:09
