bid,delayTime,epic,expiry,high,instrumentName,instrumentType,lotSize,low,marketStatus,netChange,offer,otcTradeable,percentageChange,scalingFactor,streamingPricesAvailable,updateTime,updateTimeUTC
9781.8,0,CC.D.DX.UNC.IP,-,9798.8,US Dollar Basket ($10),COMMODITIES,10,9778.1,EDITS_ONLY,-7.7,9786.8,True,-0.08,1,True,75599000,21:59:59
9813.0,0,CO.D.DX.FWS2.IP,DEC-19,9821.0,US Dollar Basket ($10),COMMODITIES,10,9813.0,EDITS_ONLY,0.0,9821.0,True,0.0,1,True,75600000,22:00:00
13.44,0,CC.D.VSTOXX.UNC.IP,-,13.67,EU Volatility Index,COMMODITIES,100,13.32,EDITS_ONLY,-0.06,13.52,True,-0.44,1,True,71999000,20:59:59
14.54,0,CC.D.VIX.UNC.IP,-,14.66,Volatility Index,COMMODITIES,1000,14.46,TRADEABLE,0.08,14.62,True,0.55,1,True,-1629000,00:32:51
9813.0,0,CO.D.DX.FWM2.IP,DEC-19,9821.0,US Dollar Basket ($5),COMMODITIES,5,9813.0,EDITS_ONLY,0.0,9821.0,True,0.0,1,True,75600000,22:00:00
9813.0,0,CO.D.DX.FCS2.IP,DEC-19,9821.0,US Dollar Basket ($10),COMMODITIES,10,9813.0,EDITS_ONLY,0.0,9821.0,True,0.0,1,True,75600000,22:00:00
9813.0,0,CO.D.DX.FCM2.IP,DEC-19,9821.0,US Dollar Basket ($5),COMMODITIES,5,9813.0,EDITS_ONLY,0.0,9821.0,True,0.0,1,True,75600000,22:00:00
6309.9,0,CC.D.LCO.UNC.IP,-,6334.8,Oil - Brent Crude ($10),COMMODITIES,10,6300.6,EDITS_ONLY,-16.5,6313.9,True,-0.26,1,True,79195000,22:59:55
6405.0,0,EN.D.LCO.FWS4.IP,JAN-20,6435.0,Oil - Brent Crude ($10),COMMODITIES,10,6395.0,EDITS_ONLY,-17.5,6411.0,True,-0.27,1,True,79200000,23:00:00
6300.0,0,EN.D.LCO.FWS3.IP,FEB-20,6329.0,Oil - Brent Crude ($10),COMMODITIES,10,6291.0,EDITS_ONLY,-17.5,6306.0,True,-0.28,1,True,79200000,23:00:00
6232.0,0,EN.D.LCO.FWS5.IP,MAR-20,6260.0,Oil - Brent Crude ($10),COMMODITIES,10,6221.0,EDITS_ONLY,-16.0,6238.0,True,-0.26,1,True,79200000,23:00:00
6405.0,0,EN.D.LCO.MTF.IP,JAN-20,6435.0,Oil - Brent Crude (â‚¬1),COMMODITIES,10,6395.0,EDITS_ONLY,-17.5,6411.0,True,-0.27,1,True,79200000,23:00:00
5816.8,0,CC.D.CL.UNC.IP,-,5845.5,Oil - US Crude ($10),COMMODITIES,10,5809.8,TRADEABLE,-17.1,5819.6,True,-0.29,1,True,-1559000,00:34:01
