bid,delayTime,epic,expiry,high,instrumentName,instrumentType,lotSize,low,marketStatus,netChange,offer,otcTradeable,percentageChange,scalingFactor,streamingPricesAvailable,updateTime,updateTimeUTC
7406.8,0,IX.D.SUNFUN.CFD.IP,-,7413.6,Weekend FTSE 100 Cash (GBP10),INDICES,10,7398.7,EDITS_ONLY,2.4,7412.8,True,0.03,1,True,-1667000,00:32:13
7406.8,0,IX.D.SUNFUN.IFM.IP,-,7413.6,Weekend FTSE 100 Cash (GBP2),INDICES,2,7398.7,EDITS_ONLY,2.4,7412.8,True,0.03,1,True,-1667000,00:32:13
13261.6,0,IX.D.SUNDAX.IFD.IP,-,13271.8,Weekend Germany 30 Cash (E25),INDICES,25,13252.5,EDITS_ONLY,2.1,13269.6,True,0.02,1,True,-1669000,00:32:11
27007.0,0,IX.D.SUNHANS.IFM.IP,-,27079.2,Weekend Hong Kong HS50 (HK10),INDICES,10,26992.3,EDITS_ONLY,-20.7,27057.0,True,-0.08,1,True,-1667000,00:32:13
27007.0,0,IX.D.SUNHANS.IFD.IP,-,27079.2,Weekend Hong Kong HS50 (HK50),INDICES,50,26992.3,EDITS_ONLY,-20.7,27057.0,True,-0.08,1,True,-1667000,00:32:13
28140.2,0,IX.D.SUNDOW.IFD.IP,-,28163.2,Weekend Wall Street Cash ($10),INDICES,10,28124.7,EDITS_ONLY,-7.1,28152.2,True,-0.03,1,True,-1661000,00:32:19
28140.2,0,IX.D.SUNDOW.IFM.IP,-,28163.2,Weekend Wall Street Cash ($2),INDICES,2,28124.7,EDITS_ONLY,-7.1,28152.2,True,-0.03,1,True,-1661000,00:32:19
12.9,0,IN.D.VSTOXX.FWS1.IP,DEC-19,13.06,EU Volatility Index (€1000),INDICES,1000,12.75,EDITS_ONLY,-0.08,12.9,True,-0.62,1,True,72000000,21:00:00
14.9,0,IN.D.VSTOXX.FWS4.IP,JAN-20,15.16,EU Volatility Index (€1000),INDICES,1000,14.85,EDITS_ONLY,-0.13,14.9,True,-0.86,1,True,72000000,21:00:00
,0,IN.D.VIX.FWS5.IP,DEC-19,14.08,Volatility Index ($1000),INDICES,1000,13.85,TRADEABLE,0.13,,True,0.94,1,True,-1629000,00:32:51
,0,IN.D.VIX.FWS3.IP,JAN-20,16.18,Volatility Index ($1000),INDICES,1000,16.03,TRADEABLE,0.0,,True,0.0,1,True,81800000,23:43:20
1743.79,0,IX.D.OMX.IFD.IP,-,1746.58,Sweden 30 Cash (SK100),INDICES,100,1738.74,TRADEABLE,3.09,1745.29,True,0.18,1,True,-1613000,00:33:07
11626.6,0,IX.D.TAIEX.IFD.IP,-,11657.7,Taiwan Index Cash (NT$200),INDICES,200,11586.7,TRADEABLE,24.2,11650.6,True,0.21,1,True,-1613000,00:33:07
6817.0,0,IX.D.ASX.FWS3.IP,DEC-19,6829.0,Australia 200 (A$25),INDICES,25,6759.5,TRADEABLE,24.0,6820.0,True,0.35,1,True,-1612000,00:33:08
6816.1,0,IX.D.ASX.IFD.IP,-,6826.1,Australia 200 Cash (A$25),INDICES,25,6757.6,TRADEABLE,37.5,6817.1,True,0.55,1,True,-1612000,00:33:08
2873.7,0,IX.D.FANG.IFD.IP,-,2876.7,US Fang Cash ($50),INDICES,50,2867.1,TRADEABLE,2.9,2876.7,True,0.1,1,True,-1632000,00:32:48
1626.8,0,IX.D.RUSSELL.FWS2.IP,DEC-19,1629.0,US Russell 2000 ($50),INDICES,50,1623.4,TRADEABLE,3.0,1627.3,True,0.18,1,True,-1613000,00:33:07
1625.4,0,IX.D.RUSSELL.IFD.IP,-,1627.4,US Russell 2000 Cash ($50),INDICES,50,1621.3,TRADEABLE,3.8,1625.7,True,0.23,1,True,-1613000,00:33:07
8400.0,0,IX.D.NASDAQ.FWS1.IP,DEC-19,8410.8,US Tech 100 ($100),INDICES,100,8395.8,TRADEABLE,-0.3,8403.0,True,-0.0,1,True,-1611000,00:33:09
8395.1,0,IX.D.NASDAQ.IFD.IP,-,8404.9,US Tech 100 Cash ($100),INDICES,100,8384.7,TRADEABLE,10.4,8397.1,True,0.12,1,True,-1611000,00:33:09
3142.38,0,IX.D.SPTRD.FWS1.IP,DEC-19,3146.13,US 500 ($250),INDICES,250,3141.67,TRADEABLE,-0.98,3143.38,True,-0.03,1,True,-1613000,00:33:07
3142.73,0,IX.D.SPTRD.IFD.IP,-,3146.08,US 500 Cash ($250),INDICES,250,3138.55,TRADEABLE,4.18,3143.33,True,0.13,1,True,-1613000,00:33:07
28111.5,0,IX.D.DOW.FWS2.IP,DEC-19,28143.1,Wall Street ($10),INDICES,10,28105.0,TRADEABLE,-16.1,28121.5,True,-0.06,1,True,-1611000,00:33:09
28135.3,0,IX.D.DOW.IFD.IP,-,28162.2,Wall Street Cash ($10),INDICES,10,28110.4,TRADEABLE,25.4,28139.1,True,0.09,1,True,-1611000,00:33:09
23434.8,0,IX.D.NIKKEI.IFD.IP,-,23506.8,Japan 225 Cash ($5),INDICES,5,23310.0,TRADEABLE,64.8,23441.8,True,0.28,1,True,-1611000,00:33:09
