bid,delayTime,epic,expiry,high,instrumentName,instrumentType,lotSize,low,marketStatus,netChange,offer,otcTradeable,percentageChange,scalingFactor,streamingPricesAvailable,updateTime,updateTimeUTC
0.0,0,OP.D.GC2.1150P.IP,APR-20,0.6,Gold Futures 1150 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67552000,19:45:52
0.0,0,OP.D.GC2.1155P.IP,APR-20,0.6,Gold Futures 1155 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67552000,19:45:52
0.0,0,OP.D.GC2.1160P.IP,APR-20,0.6,Gold Futures 1160 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67552000,19:45:52
0.0,0,OP.D.GC2.1165P.IP,APR-20,0.6,Gold Futures 1165 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67552000,19:45:52
0.0,0,OP.D.GC2.1170P.IP,APR-20,0.6,Gold Futures 1170 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67552000,19:45:52
0.0,0,OP.D.GC2.1175P.IP,APR-20,0.6,Gold Futures 1175 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67597000,19:46:37
0.0,0,OP.D.GC2.1180P.IP,APR-20,0.6,Gold Futures 1180 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67597000,19:46:37
0.0,0,OP.D.GC2.1185P.IP,APR-20,0.6,Gold Futures 1185 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67597000,19:46:37
0.0,0,OP.D.GC2.1190P.IP,APR-20,0.6,Gold Futures 1190 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67597000,19:46:37
0.0,0,OP.D.GC2.1195P.IP,APR-20,0.6,Gold Futures 1195 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67597000,19:46:37
271.4,0,OP.D.GC2.1200C.IP,APR-20,276.2,Gold Futures 1200 CALL,OPT_COMMODITIES,100,261.9,EDITS_ONLY,1472.0,272.6,True,0.33,1,True,5135000,02:25:35
0.0,0,OP.D.GC2.1200P.IP,APR-20,0.6,Gold Futures 1200 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67603000,19:46:43
266.4,0,OP.D.GC2.1205C.IP,APR-20,271.2,Gold Futures 1205 CALL,OPT_COMMODITIES,100,256.9,EDITS_ONLY,1472.0,267.6,True,0.33,1,True,5135000,02:25:35
0.0,0,OP.D.GC2.1205P.IP,APR-20,0.6,Gold Futures 1205 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67603000,19:46:43
261.4,0,OP.D.GC2.1210C.IP,APR-20,266.2,Gold Futures 1210 CALL,OPT_COMMODITIES,100,251.9,EDITS_ONLY,1472.0,262.6,True,0.33,1,True,5135000,02:25:35
0.0,0,OP.D.GC2.1210P.IP,APR-20,0.6,Gold Futures 1210 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67603000,19:46:43
256.4,0,OP.D.GC2.1215C.IP,APR-20,261.2,Gold Futures 1215 CALL,OPT_COMMODITIES,100,246.9,EDITS_ONLY,1472.0,257.6,True,0.33,1,True,5135000,02:25:35
0.0,0,OP.D.GC2.1215P.IP,APR-20,0.6,Gold Futures 1215 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67603000,19:46:43
251.4,0,OP.D.GC2.1220C.IP,APR-20,256.2,Gold Futures 1220 CALL,OPT_COMMODITIES,100,241.9,EDITS_ONLY,1472.0,252.6,True,0.33,1,True,5135000,02:25:35
0.0,0,OP.D.GC2.1220P.IP,APR-20,0.6,Gold Futures 1220 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67603000,19:46:43
246.4,0,OP.D.GC2.1225C.IP,APR-20,251.2,Gold Futures 1225 CALL,OPT_COMMODITIES,100,236.9,EDITS_ONLY,1472.0,247.6,True,0.33,1,True,5135000,02:25:35
0.0,0,OP.D.GC2.1225P.IP,APR-20,0.6,Gold Futures 1225 PUT,OPT_COMMODITIES,100,0.0,EDITS_ONLY,1472.0,0.6,True,0.33,1,True,67612000,19:46:52
